seed,after_task,task_id,context_top1_task_acc,context_entropy_mean,context_dominance_mean,route_entropy_normalized,route_dominance_mean,effective_hosts_from_mean_route,n_items,dominant_pred_context,dominant_pred_rate,is_oldest_two,is_recent_two
0,9,0,0.0,2.430283638855989e-15,1.0,0.3125128197577878,0.79822838306427,2.361706256866455,512,9,1.0,True,False
0,9,1,0.0,0.0,1.0,0.1234397225214709,0.9398990869522096,1.353563904762268,512,9,1.0,True,False
0,9,2,0.0,3.28311003368731e-34,1.0,0.1402401869362519,0.931427240371704,1.3768209218978882,512,9,1.0,False,False
0,9,3,0.0,6.807074117147442e-20,1.0,0.3269040359297986,0.8102150559425354,2.067823648452759,512,9,1.0,False,False
0,9,4,0.5,9.485146392762544e-07,1.0,0.2571971682038309,0.8435057997703552,2.6091346740722656,512,4,0.5,False,False
0,9,5,1.0,8.273468403368997e-27,1.0,0.2644102750665452,0.8376040458679199,1.924564003944397,512,5,1.0,False,False
0,9,6,1.0,0.0,1.0,0.2099426938559604,0.8686911463737488,2.464251518249512,512,6,1.0,False,False
0,9,7,1.0,0.0,1.0,0.3263285946758273,0.7932626605033875,2.5666399002075195,512,7,1.0,False,False
0,9,8,1.0,0.0,1.0,0.2906304791214689,0.8097915053367615,2.307821989059448,512,8,1.0,False,True
0,9,9,1.0,0.0,1.0,0.091206855461893,0.9580647349357604,1.2541333436965942,512,9,1.0,False,True
1,9,0,0.0,5.184189053053591e-17,1.0,0.4624601521683596,0.6737617254257202,2.610283613204956,512,3,1.0,True,False
1,9,1,0.0,6.658331310371799e-39,1.0,0.4104663795021273,0.7331264615058899,2.338554859161377,512,9,1.0,True,False
1,9,2,1.0,5.605193857299268e-45,1.0,0.8083777107671064,0.4365064799785614,4.338910102844238,512,2,1.0,False,False
1,9,3,1.0,0.0,1.0,0.4822845440776026,0.6561130285263062,2.6950623989105225,512,3,1.0,False,False
1,9,4,1.0,0.0,1.0,0.176135001702874,0.9243404865264891,1.4107731580734253,512,4,1.0,False,False
1,9,5,1.0,1.4425677178405568e-13,1.0,0.1112426770351161,0.954611599445343,1.256922483444214,512,5,1.0,False,False
1,9,6,1.0,0.0,1.0,0.2058235003359314,0.8935574293136597,2.271942138671875,512,6,1.0,False,False
1,9,7,1.0,0.0,1.0,0.7113346429283457,0.5252451300621033,4.743220806121826,512,7,1.0,False,False
1,9,8,1.0,0.0,1.0,0.4627488727254429,0.7139327526092529,2.636744260787964,512,8,1.0,False,True
1,9,9,1.0,0.0,1.0,0.3945660836405281,0.7500974535942078,2.304673433303833,512,9,1.0,False,True
2,9,0,0.0,2.587049138380528e-18,1.0,0.3202532786436661,0.8070458173751831,1.849977970123291,512,3,1.0,True,False
2,9,1,0.0,0.0,1.0,0.3866818940617251,0.7268357276916504,2.056678771972656,512,9,1.0,True,False
2,9,2,1.0,0.0,1.0,0.4491066041965689,0.7191108465194702,2.8403544425964355,512,2,1.0,False,False
2,9,3,0.5,0.0007927007391117,0.999911367893219,0.4300819341587544,0.7354938983917236,2.717139720916748,512,5,0.5,False,False
2,9,4,1.0,0.0,1.0,0.2824065725506027,0.8347669839859009,1.970040798187256,512,4,1.0,False,False
2,9,5,1.0,0.0,1.0,0.5558757698884448,0.6140377521514893,3.208883285522461,512,5,1.0,False,False
2,9,6,1.0,0.0,1.0,0.3093908157862483,0.8089672327041626,2.696669816970825,512,6,1.0,False,False
2,9,7,1.0,0.0,1.0,0.1351500335155724,0.9410610795021056,1.6965597867965698,512,7,1.0,False,False
2,9,8,1.0,0.0,1.0,0.4386138191996956,0.6950252056121826,2.958824634552002,512,8,1.0,False,True
2,9,9,1.0,0.0,1.0,0.3684219113074735,0.7477529048919678,2.0273094177246094,512,9,1.0,False,True
3,9,0,0.0,5.247832376986672e-11,1.0,0.7512256320371504,0.4850949048995971,4.152200222015381,512,9,1.0,True,False
3,9,1,0.0,0.0,1.0,0.7818374920464878,0.4720759689807892,4.281233310699463,512,9,1.0,True,False
3,9,2,0.0,0.1269463449716568,0.9550474882125854,0.6789602394668909,0.5455756187438965,4.076149940490723,512,9,1.0,False,False
3,9,3,0.5,3.814902005405685e-10,1.0,0.4655718975977861,0.7015077471733093,3.400744199752808,512,9,0.5,False,False
3,9,4,0.25,2.707805091262116e-10,1.0,0.6066604418943826,0.5952796339988708,3.759907484054565,512,9,0.75,False,False
3,9,5,1.0,8.276702505361e-16,1.0,0.4994797123812053,0.6856581568717957,3.315161943435669,512,5,1.0,False,False
3,9,6,1.0,0.0,1.0,0.161325777715599,0.9143756031990052,1.5902243852615356,512,6,1.0,False,False
3,9,7,1.0,0.0,1.0,0.0939619036048204,0.9621791839599608,1.2227448225021362,512,7,1.0,False,False
3,9,8,1.0,0.0,1.0,0.3079286957768013,0.8149768114089966,2.1775941848754883,512,8,1.0,False,True
3,9,9,1.0,0.0,1.0,0.727610468093283,0.4958578944206238,4.239043235778809,512,9,1.0,False,True
4,9,0,0.0,7.328791980398819e-05,0.999993860721588,1.0457253996372428e-10,1.0,1.0,512,9,0.75,True,False
4,9,1,0.0,0.0,1.0,1.4260462953129747e-10,1.0,1.0,512,9,1.0,True,False
4,9,2,0.5,0.0858290717005729,0.978275716304779,4.28878971214836e-10,1.0,1.0,512,9,0.5,False,False
4,9,3,1.0,9.713113286125008e-06,0.9999991655349731,4.232049918870853e-10,1.0,1.0,512,3,1.0,False,False
4,9,4,0.75,9.224138193530962e-05,0.9999918937683104,1.234640876952302e-09,1.0,1.0,512,4,0.75,False,False
4,9,5,1.0,8.948703203565995e-39,1.0,1.4912156932717836e-10,1.0,1.0,512,5,1.0,False,False
4,9,6,1.0,0.0,1.0,1.9555442287702573e-08,1.0,1.0,512,6,1.0,False,False
4,9,7,1.0,0.0,1.0,2.8387564317566635e-09,1.0,1.0,512,7,1.0,False,False
4,9,8,1.0,9.229439683622332e-07,1.0,1.216869410528453e-07,1.0,1.000000238418579,512,8,1.0,False,True
4,9,9,1.0,0.0,1.0,1.2421313084721086e-10,1.0,1.0,512,9,1.0,False,True
